Kinto Wallet,reward %,Time Factor %,Deposit Factor,July 18th,July 18th,July 24,August 17,Total
0x68242cfeDA40Ff286b045D388f4c5859713027AE,31.351,48.73,0.38145599,"3,103.73",3103.780351,"6,270.17",4473.76,"16,951.44"
0x85bD43dBb99A2290E4cD930fc6B952D903f83fFb,21.421,79.24,0.13131027,"2,120.65",2120.700421,"4,284.15",3056.74,"11,582.24"
0xED31BeCD06fBFC54E9d4294059e473254265eAb2,15.060,40.55,0.21763170,"1,490.90",1490.95506,"3,011.92",2149.00,"8,142.78"
0x4f2204D3c9965F031f9147B0558D01D6b56ce442,2.896,86.87,0.01663106,286.68,286.706896,579.16,413.23,"1,565.78"
0x6251Af50ea360b715bC42eA8fe416a74AEaa7624,1.907,65.18,0.01387498,188.78,188.794907,381.38,272.12,"1,031.08"
0x4e3B22B00EedeDb66C1F62eedfceAE453Cea70f3,1.751,60.37,0.01564279,173.36,173.350751,350.22,249.88,946.80
0xEBa34F1E7eB7ce11a4bFF44876267d1DB7230F58,1.414,84.40,0.00877693,140.01,139.987414,282.84,201.81,764.64
0xE3213CD1A8603Ad4185204A6918A4B9A0E11d881,1.102,44.23,0.01411979,109.07,109.099102,220.35,157.22,595.74
0xA38fA3dD33Ab59Ec465AF92dfCb0D164eA3Be735,1.034,69.24,0.00670845,102.34,102.367034,206.75,147.51,558.97
0x4ebE11e8dC49c890710aae20AaB9D0aE48e2e18F,0.891,61.89,0.00666155,88.18,88.209891,178.15,127.11,481.65
0x2e2B1c42E38f5af81771e65D87729E57ABD1337a,0.697,66.88,0.00519122,68.95,70.191709,139.30,99.39,377.84
0x559Fa64B39B678A6C262B991BBBe873189a07fe6,0.604,53.67,0.00401765,59.81,59.796604,120.82,86.21,326.63
0xd358892B32E512F81a9a6D2F257A92e5dfbBd7b4,0.525,48.73,0.00624807,51.98,51.975525,105.01,74.92,283.88
0xEf3C39407856ec69bB1bfcd3ba78657d239C564d,0.523,86.58,0.00262863,51.81,51.777523,104.66,74.68,282.93
0xb73849f7963F5Fd8146A4ad99286716a6bc0B317,0.495,77.58,0.00223994,49.00,49.005495,99.00,70.64,267.64
0xcC4cAe3bb8009233940E629f07A225a4Ab69B5Fa,0.376,81.37,0.00170283,37.20,37.224376,75.15,53.62,203.20
0x8104B1CBEbD1fe45D7EC28B1Aec4E4Ddf092609f,0.306,86.43,0.00132871,30.28,30.294306,61.16,43.64,165.37
0x64100d29dE9653391bF57601EFf562284FC1a3f9,0.250,76.69,0.00140649,24.76,24.75025,50.02,35.69,135.22
0x044935732148a3b12A5d0eA2f50F991d77243f92,0.232,41.69,0.00355268,23.01,22.968232,46.49,33.17,125.65
0xf9e6F1151Cc07c88835Aa98eD19CE8282D08a3ec,0.224,44.27,0.00312248,22.18,22.176224,44.81,31.97,121.13
0x2804eeabDF440a100B28F16De72b2ACbd0c53e5C,0.197,73.24,0.00134246,19.45,19.503197,39.30,28.04,106.30
0x67bA121Bcde1ABB2Eb475c4391e66d30D7b397e0,0.189,74.22,0.00134201,18.71,18.711189,37.79,26.97,102.18
0x5d38aF72E3895E42fEC20036940504d947611941,0.180,52.86,0.00200728,17.79,17.82018,35.94,25.64,97.19
0xdB06189B1A2075dd0A8569020FD5133fb5c0699a,0.171,62.20,0.00134090,16.88,16.929171,34.11,24.34,92.26
